striker,balls_faced,total_runs,total_extras_seen,avg_runs_per_ball,boundary_rate,dot_ball_rate
A Athanaze,8,1,0,0.125,0.0,0.875
A Bishnoi,5,3,1,0.6,0.0,0.4
A Bohara,5,3,1,0.6,0.0,0.4
A Bosch,22,27,1,1.2272727272727273,0.18181818181818182,0.45454545454545453
A Dercksen,38,30,1,0.7894736842105263,0.07894736842105263,0.47368421052631576
A Khaka,1,1,0,1.0,0.0,0.0
A Kolan,11,4,1,0.36363636363636365,0.0,0.7272727272727273
A Lister,6,7,1,1.1666666666666667,0.16666666666666666,0.3333333333333333
A Morris,2,0,0,0.0,0.0,1.0
A Otwani,30,21,1,0.7,0.06666666666666667,0.5666666666666667
A Patmore,6,9,1,1.5,0.3333333333333333,0.5
AA Jangoo,23,34,0,1.4782608695652173,0.2608695652173913,0.43478260869565216
AB de Villiers,10,7,0,0.7,0.0,0.5
AC Agar,7,7,1,1.0,0.14285714285714285,0.5714285714285714
AC Douglas,26,43,3,1.6538461538461537,0.23076923076923078,0.38461538461538464
AC Jayangani,53,79,1,1.490566037735849,0.24528301886792453,0.4716981132075472
AC Kerr,16,18,0,1.125,0.0625,0.25
AD Hales,21,27,2,1.2857142857142858,0.23809523809523808,0.47619047619047616
ADS Fletcher,3,0,1,0.0,0.0,1.0
AE Jones,7,5,0,0.7142857142857143,0.0,0.42857142857142855
AJ Finch,27,47,1,1.7407407407407407,0.18518518518518517,0.2962962962962963
AJ Tye,2,0,0,0.0,0.0,1.0
AR Cusack,2,2,0,1.0,0.0,0.5
AR Naidoo,46,34,6,0.7391304347826086,0.043478260869565216,0.45652173913043476
AR White,7,5,1,0.7142857142857143,0.0,0.42857142857142855
AT Carey,3,2,0,0.6666666666666666,0.0,0.3333333333333333
AU Rashid,7,2,0,0.2857142857142857,0.0,0.7142857142857143
AWJ Auguste,25,50,0,2.0,0.24,0.2
Aamer Ikram,30,23,2,0.7666666666666667,0.1,0.7
Aamir Kaleem,37,46,1,1.2432432432432432,0.16216216216216217,0.35135135135135137
Aamir Lal,12,34,0,2.8333333333333335,0.4166666666666667,0.25
Aaqib Sulehri,1,0,0,0.0,0.0,1.0
Aarif Sheikh,21,25,1,1.1904761904761905,0.19047619047619047,0.5238095238095238
Abdul Razzaq,9,15,0,1.6666666666666667,0.1111111111111111,0.1111111111111111
Adnan Ilyas,48,49,6,1.0208333333333333,0.08333333333333333,0.4583333333333333
Akhil Arjunan,19,13,0,0.6842105263157895,0.0,0.42105263157894735
Alam Nakash,4,1,0,0.25,0.0,0.75
Aliya Riaz,50,56,1,1.12,0.16,0.48
Amar Sharma,32,11,2,0.34375,0.0,0.65625
Amjad Sher,15,17,1,1.1333333333333333,0.06666666666666667,0.3333333333333333
Ananya Sarma,12,1,2,0.08333333333333333,0.0,0.9166666666666666
Anjar Tadarus,11,16,0,1.4545454545454546,0.18181818181818182,0.2727272727272727
Anshuman Rath,21,20,2,0.9523809523809523,0.19047619047619047,0.6190476190476191
Arslan Ahmed,24,11,2,0.4583333333333333,0.041666666666666664,0.75
