balls_faced,total_runs,total_extras_seen,avg_runs_per_ball,boundary_rate,dot_ball_rate
8,1,0,0.125,0.0,0.875
5,3,1,0.6,0.0,0.4
5,3,1,0.6,0.0,0.4
22,27,1,1.2272727272727273,0.18181818181818182,0.45454545454545453
38,30,1,0.7894736842105263,0.07894736842105263,0.47368421052631576
1,1,0,1.0,0.0,0.0
11,4,1,0.36363636363636365,0.0,0.7272727272727273
6,7,1,1.1666666666666667,0.16666666666666666,0.3333333333333333
2,0,0,0.0,0.0,1.0
30,21,1,0.7,0.06666666666666667,0.5666666666666667
6,9,1,1.5,0.3333333333333333,0.5
23,34,0,1.4782608695652173,0.2608695652173913,0.43478260869565216
10,7,0,0.7,0.0,0.5
7,7,1,1.0,0.14285714285714285,0.5714285714285714
26,43,3,1.6538461538461537,0.23076923076923078,0.38461538461538464
53,79,1,1.490566037735849,0.24528301886792453,0.4716981132075472
16,18,0,1.125,0.0625,0.25
21,27,2,1.2857142857142858,0.23809523809523808,0.47619047619047616
3,0,1,0.0,0.0,1.0
7,5,0,0.7142857142857143,0.0,0.42857142857142855
27,47,1,1.7407407407407407,0.18518518518518517,0.2962962962962963
2,0,0,0.0,0.0,1.0
2,2,0,1.0,0.0,0.5
46,34,6,0.7391304347826086,0.043478260869565216,0.45652173913043476
7,5,1,0.7142857142857143,0.0,0.42857142857142855
3,2,0,0.6666666666666666,0.0,0.3333333333333333
7,2,0,0.2857142857142857,0.0,0.7142857142857143
25,50,0,2.0,0.24,0.2
30,23,2,0.7666666666666667,0.1,0.7
37,46,1,1.2432432432432432,0.16216216216216217,0.35135135135135137
12,34,0,2.8333333333333335,0.4166666666666667,0.25
1,0,0,0.0,0.0,1.0
21,25,1,1.1904761904761905,0.19047619047619047,0.5238095238095238
9,15,0,1.6666666666666667,0.1111111111111111,0.1111111111111111
48,49,6,1.0208333333333333,0.08333333333333333,0.4583333333333333
19,13,0,0.6842105263157895,0.0,0.42105263157894735
4,1,0,0.25,0.0,0.75
50,56,1,1.12,0.16,0.48
32,11,2,0.34375,0.0,0.65625
15,17,1,1.1333333333333333,0.06666666666666667,0.3333333333333333
12,1,2,0.08333333333333333,0.0,0.9166666666666666
11,16,0,1.4545454545454546,0.18181818181818182,0.2727272727272727
21,20,2,0.9523809523809523,0.19047619047619047,0.6190476190476191
24,11,2,0.4583333333333333,0.041666666666666664,0.75
11,17,0,1.5454545454545454,0.18181818181818182,0.36363636363636365
7,2,0,0.2857142857142857,0.0,0.7142857142857143
9,9,0,1.0,0.0,0.2222222222222222
2,2,0,1.0,0.0,0.5
4,1,0,0.25,0.0,0.75
23,19,2,0.8260869565217391,0.043478260869565216,0.43478260869565216
3,0,2,0.0,0.0,1.0
35,33,0,0.9428571428571428,0.11428571428571428,0.42857142857142855
9,4,0,0.4444444444444444,0.0,0.6666666666666666
3,2,0,0.6666666666666666,0.0,0.3333333333333333
62,20,11,0.3225806451612903,0.0,0.6935483870967742
6,2,0,0.3333333333333333,0.0,0.6666666666666666
39,42,1,1.0769230769230769,0.15384615384615385,0.48717948717948717
7,11,0,1.5714285714285714,0.2857142857142857,0.5714285714285714
4,0,0,0.0,0.0,1.0
35,44,6,1.2571428571428571,0.11428571428571428,0.34285714285714286
2,0,0,0.0,0.0,1.0
20,17,0,0.85,0.1,0.5
10,4,0,0.4,0.0,0.6
7,6,0,0.8571428571428571,0.0,0.14285714285714285
20,18,4,0.9,0.1,0.45
45,65,0,1.4444444444444444,0.15555555555555556,0.3333333333333333
15,30,3,2.0,0.26666666666666666,0.2
38,29,3,0.7631578947368421,0.05263157894736842,0.4473684210526316
12,13,0,1.0833333333333333,0.0,0.25
4,8,0,2.0,0.25,0.25
10,4,0,0.4,0.0,0.6
3,2,0,0.6666666666666666,0.0,0.3333333333333333
5,1,0,0.2,0.0,0.8
19,9,1,0.47368421052631576,0.05263157894736842,0.7368421052631579
91,129,6,1.4175824175824177,0.1978021978021978,0.31868131868131866
28,22,0,0.7857142857142857,0.14285714285714285,0.6428571428571429
7,17,0,2.4285714285714284,0.2857142857142857,0.14285714285714285
10,4,0,0.4,0.0,0.7
25,22,1,0.88,0.12,0.52
2,0,0,0.0,0.0,1.0
2,2,0,1.0,0.0,0.0
7,0,1,0.0,0.0,1.0
22,20,1,0.9090909090909091,0.09090909090909091,0.4090909090909091
47,46,4,0.9787234042553191,0.0851063829787234,0.425531914893617
20,35,2,1.75,0.2,0.35
6,0,2,0.0,0.0,1.0
9,5,0,0.5555555555555556,0.0,0.6666666666666666
28,37,0,1.3214285714285714,0.14285714285714285,0.2857142857142857
5,2,0,0.4,0.0,0.8
7,2,0,0.2857142857142857,0.0,0.7142857142857143
10,7,0,0.7,0.1,0.7
2,0,0,0.0,0.0,1.0
6,2,1,0.3333333333333333,0.0,0.6666666666666666
9,13,0,1.4444444444444444,0.2222222222222222,0.4444444444444444
33,23,3,0.696969696969697,0.030303030303030304,0.42424242424242425
11,15,0,1.3636363636363635,0.09090909090909091,0.45454545454545453
10,0,0,0.0,0.0,1.0
36,66,2,1.8333333333333333,0.19444444444444445,0.16666666666666666
6,4,0,0.6666666666666666,0.16666666666666666,0.8333333333333334
5,5,0,1.0,0.0,0.2
6,7,0,1.1666666666666667,0.0,0.0
54,76,4,1.4074074074074074,0.2037037037037037,0.4444444444444444
8,9,0,1.125,0.0,0.25
13,12,0,0.9230769230769231,0.07692307692307693,0.46153846153846156
6,2,1,0.3333333333333333,0.0,0.6666666666666666
108,140,7,1.2962962962962963,0.16666666666666666,0.32407407407407407
9,9,3,1.0,0.2222222222222222,0.6666666666666666
4,4,0,1.0,0.25,0.75
1,0,0,0.0,0.0,1.0
16,11,1,0.6875,0.0625,0.5625
8,3,0,0.375,0.0,0.625
9,4,1,0.4444444444444444,0.0,0.6666666666666666
21,23,4,1.0952380952380953,0.14285714285714285,0.5238095238095238
4,2,2,0.5,0.0,0.5
27,38,1,1.4074074074074074,0.14814814814814814,0.25925925925925924
3,4,0,1.3333333333333333,0.3333333333333333,0.6666666666666666
12,10,0,0.8333333333333334,0.08333333333333333,0.4166666666666667
11,8,0,0.7272727272727273,0.0,0.2727272727272727
10,5,0,0.5,0.1,0.8
6,1,0,0.16666666666666666,0.0,0.8333333333333334
24,13,0,0.5416666666666666,0.041666666666666664,0.5833333333333334
31,25,1,0.8064516129032258,0.03225806451612903,0.3548387096774194
18,26,3,1.4444444444444444,0.2222222222222222,0.4444444444444444
9,6,1,0.6666666666666666,0.1111111111111111,0.6666666666666666
4,3,0,0.75,0.0,0.25
50,91,6,1.82,0.3,0.28
23,15,5,0.6521739130434783,0.043478260869565216,0.6521739130434783
33,47,4,1.4242424242424243,0.18181818181818182,0.3333333333333333
16,17,0,1.0625,0.125,0.3125
14,14,2,1.0,0.14285714285714285,0.5
9,6,0,0.6666666666666666,0.0,0.4444444444444444
4,3,0,0.75,0.0,0.5
19,11,2,0.5789473684210527,0.05263157894736842,0.6842105263157895
4,1,0,0.25,0.0,0.75
20,30,0,1.5,0.15,0.25
5,5,0,1.0,0.0,0.2
21,6,0,0.2857142857142857,0.0,0.7142857142857143
16,14,1,0.875,0.1875,0.6875
17,28,2,1.6470588235294117,0.29411764705882354,0.47058823529411764
4,0,0,0.0,0.0,1.0
22,14,5,0.6363636363636364,0.09090909090909091,0.6818181818181818
25,30,1,1.2,0.16,0.32
19,11,2,0.5789473684210527,0.05263157894736842,0.7368421052631579
7,2,0,0.2857142857142857,0.0,0.8571428571428571
79,79,4,1.0,0.08860759493670886,0.3670886075949367
9,2,0,0.2222222222222222,0.0,0.7777777777777778
10,6,1,0.6,0.0,0.5
13,23,1,1.7692307692307692,0.3076923076923077,0.38461538461538464
8,6,0,0.75,0.0,0.5
29,13,1,0.4482758620689655,0.034482758620689655,0.7241379310344828
21,22,4,1.0476190476190477,0.14285714285714285,0.47619047619047616
1,0,0,0.0,0.0,1.0
2,4,0,2.0,0.5,0.5
7,11,1,1.5714285714285714,0.2857142857142857,0.5714285714285714
4,13,0,3.25,0.75,0.0
4,1,0,0.25,0.0,0.75
10,4,1,0.4,0.0,0.6
3,0,0,0.0,0.0,1.0
13,12,0,0.9230769230769231,0.15384615384615385,0.6923076923076923
10,10,0,1.0,0.1,0.6
3,2,1,0.6666666666666666,0.0,0.3333333333333333
3,11,0,3.6666666666666665,0.6666666666666666,0.0
4,2,1,0.5,0.0,0.75
1,0,0,0.0,0.0,1.0
11,7,1,0.6363636363636364,0.09090909090909091,0.7272727272727273
28,37,0,1.3214285714285714,0.10714285714285714,0.25
3,2,0,0.6666666666666666,0.0,0.6666666666666666
1,0,0,0.0,0.0,1.0
8,3,1,0.375,0.0,0.75
1,1,0,1.0,0.0,0.0
60,73,3,1.2166666666666666,0.18333333333333332,0.4166666666666667
9,2,0,0.2222222222222222,0.0,0.7777777777777778
3,2,0,0.6666666666666666,0.0,0.3333333333333333
2,6,0,3.0,0.5,0.0
34,32,4,0.9411764705882353,0.058823529411764705,0.3235294117647059
1,1,0,1.0,0.0,0.0
2,0,0,0.0,0.0,1.0
12,8,0,0.6666666666666666,0.08333333333333333,0.5833333333333334
8,2,0,0.25,0.0,0.75
7,2,0,0.2857142857142857,0.0,0.8571428571428571
16,23,1,1.4375,0.25,0.5
13,35,0,2.6923076923076925,0.38461538461538464,0.07692307692307693
11,8,2,0.7272727272727273,0.0,0.45454545454545453
27,38,1,1.4074074074074074,0.2222222222222222,0.2962962962962963
35,55,0,1.5714285714285714,0.22857142857142856,0.3142857142857143
36,24,0,0.6666666666666666,0.05555555555555555,0.6388888888888888
21,15,1,0.7142857142857143,0.0,0.42857142857142855
10,9,0,0.9,0.1,0.5
21,23,1,1.0952380952380953,0.09523809523809523,0.2857142857142857
34,37,4,1.088235294117647,0.11764705882352941,0.5
3,5,0,1.6666666666666667,0.3333333333333333,0.3333333333333333
9,4,0,0.4444444444444444,0.0,0.7777777777777778
37,27,3,0.7297297297297297,0.02702702702702703,0.5405405405405406
2,0,0,0.0,0.0,1.0
5,8,0,1.6,0.2,0.4
21,26,0,1.2380952380952381,0.19047619047619047,0.5238095238095238
47,114,1,2.425531914893617,0.425531914893617,0.3191489361702128
5,3,0,0.6,0.0,0.4
7,8,1,1.1428571428571428,0.14285714285714285,0.2857142857142857
4,2,0,0.5,0.0,0.5
26,41,1,1.5769230769230769,0.11538461538461539,0.11538461538461539
17,12,1,0.7058823529411765,0.0,0.4117647058823529
11,22,0,2.0,0.2727272727272727,0.36363636363636365
6,3,1,0.5,0.0,0.5
4,5,0,1.25,0.0,0.5
12,2,0,0.16666666666666666,0.0,0.8333333333333334
4,2,0,0.5,0.0,0.5
2,2,0,1.0,0.0,0.0
32,26,6,0.8125,0.03125,0.4375
13,3,0,0.23076923076923078,0.0,0.7692307692307693
19,31,2,1.631578947368421,0.2631578947368421,0.47368421052631576
62,98,4,1.5806451612903225,0.1935483870967742,0.3225806451612903
1,0,0,0.0,0.0,1.0
7,7,0,1.0,0.14285714285714285,0.5714285714285714
52,57,3,1.0961538461538463,0.11538461538461539,0.38461538461538464
11,18,1,1.6363636363636365,0.18181818181818182,0.2727272727272727
13,18,0,1.3846153846153846,0.3076923076923077,0.5384615384615384
12,2,1,0.16666666666666666,0.0,0.8333333333333334
16,18,3,1.125,0.125,0.3125
12,9,0,0.75,0.0,0.25
28,41,1,1.4642857142857142,0.2857142857142857,0.5357142857142857
2,0,0,0.0,0.0,1.0
1,0,0,0.0,0.0,1.0
10,11,3,1.1,0.2,0.7
4,0,0,0.0,0.0,1.0
4,2,0,0.5,0.0,0.5
1,0,0,0.0,0.0,1.0
23,29,1,1.2608695652173914,0.17391304347826086,0.391304347826087
60,67,2,1.1166666666666667,0.16666666666666666,0.4666666666666667
2,1,0,0.5,0.0,0.5
