antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,A,C,rule
"frozenset({'DOT_HEAVY', 'HIGH_RUN_OVER'})",frozenset({'BOUNDARY'}),0.05014464802314368,0.5679845708775313,0.05014464802314368,1.0,1.7606112054329373,1.0,0.02166326163391357,inf,0.4548223350253808,0.08828522920203735,1.0,0.5441426146010186,"DOT_HEAVY, HIGH_RUN_OVER",BOUNDARY,"DOT_HEAVY, HIGH_RUN_OVER → BOUNDARY"
"frozenset({'HIGH_RUN_OVER', 'EXTRAS'})",frozenset({'BOUNDARY'}),0.06075216972034716,0.5679845708775313,0.06075216972034716,1.0,1.7606112054329373,1.0,0.02624587467185683,inf,0.4599589322381931,0.1069609507640068,1.0,0.5534804753820034,"EXTRAS, HIGH_RUN_OVER",BOUNDARY,"EXTRAS, HIGH_RUN_OVER → BOUNDARY"
frozenset({'HIGH_RUN_OVER'}),frozenset({'BOUNDARY'}),0.2304725168756027,0.5679845708775313,0.22950819672131148,0.99581589958159,1.7532446313516281,1.0,0.0986033631246577,103.25168756027112,0.5583022682757315,0.40338983050847466,0.9903149282725644,0.699945301233919,HIGH_RUN_OVER,BOUNDARY,HIGH_RUN_OVER → BOUNDARY
"frozenset({'EXTRAS', 'WICKET'})",frozenset({'DOT_HEAVY'}),0.09739633558341369,0.6441658630665381,0.09161041465766634,0.9405940594059405,1.4601737119819764,1.0,0.028871020087058483,5.989874638379937,0.3491565452091767,0.14094955489614241,0.833051597842711,0.541404814134108,"EXTRAS, WICKET",DOT_HEAVY,"EXTRAS, WICKET → DOT_HEAVY"
frozenset({'EXTRAS'}),frozenset({'DOT_HEAVY'}),0.31822565091610416,0.6441658630665381,0.25168756027000966,0.7909090909090909,1.2278034839412084,1.0,0.046697459197726554,1.7018154375078611,0.27213903656375493,0.35413839891451837,0.41239221483123917,0.5908138268916712,EXTRAS,DOT_HEAVY,EXTRAS → DOT_HEAVY
frozenset({'WICKET'}),frozenset({'DOT_HEAVY'}),0.3365477338476374,0.6441658630665381,0.25940212150433944,0.7707736389684814,1.196545304805861,1.0,0.04260956006728853,1.5523264223722275,0.24758472378317625,0.3596256684491978,0.3558055924398785,0.5867341248734622,WICKET,DOT_HEAVY,WICKET → DOT_HEAVY
"frozenset({'BOUNDARY', 'EXTRAS'})",frozenset({'DOT_HEAVY'}),0.16200578592092574,0.6441658630665381,0.11861137897782063,0.7321428571428572,1.1365750641573995,1.0,0.014252782068294695,1.3284474445515912,0.14339442588902296,0.17251051893408131,0.24724157955865286,0.4581372968349017,"BOUNDARY, EXTRAS",DOT_HEAVY,"BOUNDARY, EXTRAS → DOT_HEAVY"
"frozenset({'BOUNDARY', 'WICKET'})",frozenset({'DOT_HEAVY'}),0.14561234329797493,0.6441658630665381,0.10221793635486982,0.7019867549668874,1.0897608755997938,1.0,0.008419435561188765,1.1940212150433944,0.09640529835171856,0.14866760168302948,0.16249394282022295,0.4303346948487132,"BOUNDARY, WICKET",DOT_HEAVY,"BOUNDARY, WICKET → DOT_HEAVY"
"frozenset({'DOT_HEAVY', 'BOUNDARY'})",frozenset({'EXTRAS'}),0.266152362584378,0.31822565091610416,0.11861137897782063,0.44565217391304346,1.4004281949934123,1.0,0.03391487015154797,1.2298674532493807,0.38963494759783324,0.25465838509316774,0.18690424943115422,0.40918972332015807,"BOUNDARY, DOT_HEAVY",EXTRAS,"BOUNDARY, DOT_HEAVY → EXTRAS"
frozenset({'BOUNDARY'}),frozenset({'HIGH_RUN_OVER'}),0.5679845708775313,0.2304725168756027,0.22950819672131148,0.4040747028862479,1.7532446313516281,1.0,0.0986033631246577,1.2913153491745586,0.9944759153661467,0.40338983050847466,0.22559582317423446,0.699945301233919,BOUNDARY,HIGH_RUN_OVER,BOUNDARY → HIGH_RUN_OVER
frozenset({'DOT_HEAVY'}),frozenset({'WICKET'}),0.6441658630665381,0.3365477338476374,0.25940212150433944,0.4026946107784431,1.196545304805861,1.0,0.04260956006728853,1.1107421398240054,0.4616213820130766,0.3596256684491978,0.0997010339785545,0.5867341248734622,DOT_HEAVY,WICKET,DOT_HEAVY → WICKET
frozenset({'DOT_HEAVY'}),frozenset({'EXTRAS'}),0.6441658630665381,0.31822565091610416,0.25168756027000966,0.3907185628742515,1.2278034839412084,1.0,0.046697459197726554,1.1189809955480159,0.5214154440394979,0.35413839891451837,0.10632977326817367,0.5908138268916712,DOT_HEAVY,EXTRAS,DOT_HEAVY → EXTRAS
"frozenset({'DOT_HEAVY', 'BOUNDARY'})",frozenset({'WICKET'}),0.266152362584378,0.3365477338476374,0.10221793635486982,0.3840579710144928,1.1411693866533783,1.0,0.012644961868902682,1.0771342674003064,0.16857164108794298,0.20423892100192678,0.0716106336366701,0.34389144969062746,"BOUNDARY, DOT_HEAVY",WICKET,"BOUNDARY, DOT_HEAVY → WICKET"
"frozenset({'BOUNDARY', 'EXTRAS'})",frozenset({'HIGH_RUN_OVER'}),0.16200578592092574,0.2304725168756027,0.06075216972034716,0.37500000000000006,1.6270920502092054,1.0,0.023414288490741328,1.2312439729990357,0.4599156118143462,0.18313953488372095,0.18781328320802013,0.31929916317991636,"BOUNDARY, EXTRAS",HIGH_RUN_OVER,"BOUNDARY, EXTRAS → HIGH_RUN_OVER"
